Index,Champion,Other Champions,Synergy,Counter,Synergy Total,Counter Total
118,Aatrox,Teemo,0,-1,0,3
119,Aatrox,Tristana,-1,2,1,2
120,Aatrox,Trundle,3,0,3,2
121,Aatrox,Tryndamere,1,5,1,5
122,Aatrox,Twisted Fate,0,0,0,0
123,Aatrox,Twitch,8,1,10,1
124,Aatrox,Udyr,0,0,0,0
125,Aatrox,Urgot,0,0,0,0
126,Aatrox,Varus,2,1,4,3
127,Aatrox,Vayne,1,-3,1,3
128,Aatrox,Veigar,-1,0,3,2
129,Aatrox,Vel Koz,0,0,0,0
130,Aatrox,Vi,0,0,0,0
131,Aatrox,Viktor,0,0,0,0
132,Aatrox,Vladimir,0,-2,0,6
133,Aatrox,Volibear,-1,0,1,0
134,Aatrox,Warwick,0,0,0,0
135,Aatrox,Wukong,0,0,0,0
136,Aatrox,Xayah,-1,0,3,4
137,Aatrox,Xerath,-1,-1,1,1
138,Aatrox,Xin Zhao,0,0,0,0
139,Aatrox,Yasuo,2,1,4,5
140,Aatrox,Yorick,0,0,0,0
141,Aatrox,Zac,0,1,0,3
142,Aatrox,Zed,-3,8,3,8
143,Aatrox,Ziggs,0,0,2,2
144,Aatrox,Zilean,0,-2,0,2
145,Aatrox,Zoe,0,-1,0,1
146,Aatrox,Zyra,2,0,2,0
147,Aatrox,Yuumi,0,1,0,3
148,Aatrox,Senna,1,2,1,4
149,Aatrox,Qiana,0,0,0,0
150,Aatrox,Sett,0,0,0,2
151,Aatrox,Aphelios,5,3,5,5
152,Aatrox,Viego,2,6,4,6
153,Aatrox,Rell,0,1,0,1
154,Aatrox,Lillia,0,1,0,1
155,Aatrox,Yone,0,0,2,2
156,Akali,Aatrox,-1,-1,1,3
157,Akali,Akali,-20,0,100,0
158,Akali,Aurelion Sol,0,0,0,0
159,Akali,Ahri,0,-4,0,4
160,Akali,Akshan,-4,-1,4,1
161,Akali,Alistar,-1,1,1,1
162,Akali,Amumu,2,-1,2,3
163,Akali,Anivia,2,-1,2,1
164,Akali,Annie,0,-2,2,2
165,Akali,Ashe,-7,-2,11,16
166,Akali,Azir,0,-1,0,1
167,Akali,Bard,3,0,5,2
168,Akali,Blitzcrank,0,1,2,1
169,Akali,Brand,-3,24,5,28
170,Akali,Braum,-4,-1,6,3
171,Akali,Camille,1,-7,13,7
172,Akali,Caitlyn,1,-6,5,6
173,Akali,Cassiopeia,1,1,3,1
